CJT,32400,0,not_ambiguous,historical,Asia/Sakhalin,Asia/Tokyo
CKHST,-36000,1800,not_ambiguous,modern,Pacific/Rarotonga
CKT,-37800,0,time_ambiguous,modern,Pacific/Rarotonga
CLST,-14400,3600,modern_time_ambiguous,modern,America/Santiago,Antarctica/Palmer
CLT,-14400,0,modern_time_ambiguous,modern,America/Santiago,Antarctica/Palmer
CMT,-16060,0,too_ambiguous,historical,America/Argentina/Buenos_Aires,America/Argentina/Catamarca,America/Argentina/Cordoba,America/Argentina/Jujuy,America/Argentina/La_Rioja,America/Argentina/Mendoza,America/Argentina/Rio_Gallegos,America/Argentina/Salta,America/Argentina/San_Juan,America/Argentina/San_Luis,America/Argentina/Tucuman,America/Argentina/Ushuaia,America/Caracas,America/La_Paz,America/Panama,America/St_Lucia,Europe/Chisinau,Europe/Copenhagen
COST,-18000,3600,not_ambiguous,modern,America/Bogota
COT,-18000,0,not_ambiguous,modern,America/Bogota
CPT,-21600,3600,not_ambiguous,historical,America/Atikokan,America/Chicago,America/Indiana/Indianapolis,America/Indiana/Knox,America/Indiana/Marengo,America/Indiana/Petersburg,America/Indiana/Tell_City,America/Indiana/Vevay,America/Indiana/Vincennes,America/Indiana/Winamac,America/Kentucky/Louisville,America/Kentucky/Monticello,America/Menominee,America/Rainy_River,America/Winnipeg,CST6CDT
CST,34200,3600,too_ambiguous,modern,America/Atikokan,America/Bahia_Banderas,America/Belize,America/Cambridge_Bay,America/Cancun,America/Chicago,America/Chihuahua,America/Costa_Rica,America/Detroit,America/El_Salvador,America/Guatemala,America/Havana,America/Hermosillo,America/Indiana/Indianapolis,America/Indiana/Knox,America/Indiana/Marengo,America/Indiana/Petersburg,America/Indiana/Tell_City,America/Indiana/Vevay,America/Indiana/Vincennes,America/Indiana/Winamac,America/Iqaluit,America/Kentucky/Louisville,America/Kentucky/Monticello,America/Managua,America/Matamoros,America/Mazatlan,America/Menominee,America/Merida,America/Mexico_City,America/Monterrey,America/North_Dakota/Center,America/North_Dakota/New_Salem,America/Ojinaga,America/Pangnirtung,America/Rainy_River,America/Rankin_Inlet,America/Regina,America/Resolute,America/Swift_Current,America/Tegucigalpa,America/Thunder_Bay,America/Winnipeg,Asia/Chongqing,Asia/Harbin,Asia/Jayapura,Asia/Kashgar,Asia/Macau,Asia/Shanghai,Asia/Taipei,Asia/Urumqi,Australia/Adelaide,Australia/Broken_Hill,Australia/Darwin,CST6CDT
CUT,8400,0,not_ambiguous,historical,Europe/Zaporozhye
CVST,-7200,3600,not_ambiguous,historical,Atlantic/Cape_Verde
CVT,-3600,0,time_ambiguous,modern,Atlantic/Cape_Verde
CWST,31500,0,time_ambiguous,modern,Australia/Eucla
CWT,-21600,3600,not_ambiguous,historical,America/Atikokan,America/Chicago,America/Indiana/Indianapolis,America/Indiana/Knox,America/Indiana/Marengo,America/Indiana/Petersburg,America/Indiana/Tell_City,America/Indiana/Vevay,America/Indiana/Vincennes,America/Indiana/Winamac,America/Kentucky/Louisville,America/Kentucky/Monticello,America/Menominee,America/Mexico_City,America/Rainy_River,America/Winnipeg,CST6CDT
CXT,25200,0,not_ambiguous,modern,Indian/Christmas
ChST,36000,0,not_ambiguous,modern,Pacific/Guam,Pacific/Saipan
DACT,21600,0,not_ambiguous,modern,Asia/Dhaka
DAVT,18000,0,time_ambiguous,modern,Antarctica/Davis
DDUT,36000,0,not_ambiguous,modern,Antarctica/DumontDUrville
DMT,-1521,0,not_ambiguous,historical,Europe/Dublin
DUSST,18000,3600,time_ambiguous,modern,Asia/Dushanbe
DUST,18000,0,time_ambiguous,historical,Asia/Dushanbe
EASST,-21600,3600,time_ambiguous,modern,Pacific/Easter
EAST,-25200,0,too_ambiguous,modern,Indian/Antananarivo,Pacific/Easter
EAT,10800,0,not_ambiguous,modern,Africa/Addis_Ababa,Africa/Asmara,Africa/Dar_es_Salaam,Africa/Djibouti,Africa/Kampala,Africa/Khartoum,Africa/Mogadishu,Africa/Nairobi,Indian/Antananarivo,Indian/Comoro,Indian/Mayotte
ECT,-18000,0,not_ambiguous,modern,America/Guayaquil,Pacific/Galapagos
EDDT,-18000,7200,not_ambiguous,historical,America/Iqaluit
EDT,-18000,3600,not_ambiguous,modern,America/Cancun,America/Detroit,America/Grand_Turk,America/Indiana/Indianapolis,America/Indiana/Marengo,America/Indiana/Petersburg,America/Indiana/Tell_City,America/Indiana/Vevay,America/Indiana/Vincennes,America/Indiana/Winamac,America/Iqaluit,America/Jamaica,America/Kentucky/Louisville,America/Kentucky/Monticello,America/Montreal,America/Nassau,America/New_York,America/Nipigon,America/Pangnirtung,America/Port-au-Prince,America/Santo_Domingo,America/Thunder_Bay,America/Toronto,EST5EDT
EEST,7200,3600,not_ambiguous,modern,Africa/Cairo,Asia/Amman,Asia/Beirut,Asia/Damascus,Asia/Gaza,Asia/Nicosia,EET,Europe/Athens,Europe/Bucharest,Europe/Chisinau,Europe/Helsinki,Europe/Istanbul,Europe/Kaliningrad,Europe/Kiev,Europe/Minsk,Europe/Moscow,Europe/Riga,Europe/Simferopol,Europe/Sofia,Europe/Tallinn,Europe/Uzhgorod,Europe/Vilnius,Europe/Warsaw,Europe/Zaporozhye
